cmpdname,SMILES
Metolachlor OA,CCc1cccc(C)c1N(C(=O)C(=O)O)C(C)COC
Metolachlor-NOA 413173,CCc1cccc(C)c1N(C(=O)CS(=O)(=O)O)[C@@H](C)C(=O)O
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1
Metoprolol acid,CC(C)NCC(O)COc1ccc(CC(=O)O)cc1
Metribuzin,CSc1nnc(C(C)(C)C)c(=O)n1N
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1
Monensin,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1
Myclobutanil,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1
Mycophenolic acid,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
"N,N-Dimethyldecan-1-amide",CCCCCCCCCC(=O)N(C)C
"N,N-Dimethyldecylamine",CCCCCCCCCCN(C)C
"N,N-Dimethyldodecylamine",CCCCCCCCCCCCN(C)C
"N,N-Dimethyldodecylamine N-oxide",CCCCCCCCCCCC[N+](C)(C)[O-]
N-Acetyl-4-aminoantipyrine,CC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
N-Butylbenzenesulfonamide,CCCCNS(=O)(=O)c1ccccc1
N-Cyclohexyl-2-benzothiazole-amine,c1ccc2sc(NC3CCCCC3)nc2c1
N-Ethyl-3-methylbenzamide,CCNC(=O)c1cccc(C)c1
N-Ethyl-o-toluenesulfonamide,CCNS(=O)(=O)c1ccccc1C
N-Formyl-4-aminoantipyrine,Cc1c(NC=O)c(=O)n(-c2ccccc2)n1C
N-Lauroylethanolamine,CCCCCCCCCCCC(=O)NCCO
N-Methyl-dicyclohexylamine,CN(C1CCCCC1)C1CCCCC1
N-Methyldodecylamine,CCCCCCCCCCCCNC
N-Phenyl-1-naphthylamine,c1ccc(Nc2cccc3ccccc23)cc1
Naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1
Nicosulfuron,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1
Nitrendipin,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
Norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
Omethoate,CNC(=O)CSP(=O)(OC)OC
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
Oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
Oxypurinol,O=c1[nH]c(=O)c2c[nH]nc2[nH]1
Palmitoylethanolamide,CCCCCCCCCCCCCCCC(=O)NCCO
Paraxanthine,Cn1c(=O)[nH]c2ncn(C)c2c1=O
Pencycuron,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1
Pendimethalin,CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-]
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
Perfluorobutanoic acid,O=C(O)C(F)(F)C(F)(F)C(F)(F)F
Perfluoroheptanoic acid,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluorohexanoic acid,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Perfluorooctanesulfonic acid,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Pethoxamid,CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1
Phenazone,Cc1cc(=O)n(-c2ccccc2)n1C
Phenylbenzimidazole sulfonic acid,O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1
Phenylethylmalonamide,CCC(C(N)=O)(C(N)=O)c1ccccc1
Phloretin,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
Picolinafen,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1
Pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12
Pipamperone,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
