chemical_name,alt_names,casrn,inchikey,mdl_value_ng_L,n_sources,all_reported_values_ng_L,limit_types_reported,source_files
Bentazone,,25057-89-0,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,1.0,3,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benz[a]anthracene,,56-55-3,DXBHBZVCASKNBY-UHFFFAOYSA-N,34.09003496634656,1,34.09003496634656,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzenesulfonic acid,,98-11-3,SRSXLGNVWSONIS-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzethonium,,10172-60-8,SIYLLGKDQZGJHK-UHFFFAOYSA-N,2.0,2,2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzidine,,92-87-5,HFACYLZERDEVSX-UHFFFAOYSA-N,0.5,2,0.5; 60.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzimidazole,,51-17-2,HYZJCKYKOHLVJF-UHFFFAOYSA-N,0.2,2,0.2; 0.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzo(b)fluorene,,243-17-4,HAPOJKSPCGLOOD-UHFFFAOYSA-N,11.669096536951933,1,11.669096536951933,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzo[a]pyrene,,50-32-8,FMMWHPNWAFZXNH-UHFFFAOYSA-N,19.366863665786422,1,19.366863665786422,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzo[b]fluoranthene,,205-99-2,FTOVXSOBNPWTSH-UHFFFAOYSA-N,18.00040208941452,1,18.00040208941452,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzo[e]pyrene,,192-97-2,TXVHTIQJNYSSKO-UHFFFAOYSA-N,19.366863665786422,1,19.366863665786422,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzo[ghi]perylene,,191-24-2,GYFAGKUZYNFMBN-UHFFFAOYSA-N,47.81356805000759,1,47.81356805000759,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzo[k]fluoranthene,,207-08-9,HAXBIWFMXWRORI-UHFFFAOYSA-N,250.0,1,250.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzocain,Benzocaine,94-09-7,BLFLLBZGZJTVJG-UHFFFAOYSA-N,2.0,3,2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzophenone-3,,131-57-7,DXGLGDHPHMLXJC-UHFFFAOYSA-N,1.0,2,1.0; 2.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzophenone-4,,4065-45-6,CXVGEDCSTKKODG-UHFFFAOYSA-N,1.0,4,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); FRAM_Stenungsund_biotest_Frankfurt_ESIpos_ESIneg_draft_mdl.csv; MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzothiazole,,95-16-9,IOJUPLGTWVMSFF-UHFFFAOYSA-N,25.0,3,25.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzoylecgonine,,519-09-5,GVGYEFKIHJTNQZ-RFQIPJPRSA-N,0.5,2,0.5; 0.7,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzyl benzoate,,120-51-4,SESFRYSPDFLNCH-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzyl-2-naphthylether,,613-62-7,WLTCCDHHWYAMCG-UHFFFAOYSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzyldimethyldodecylammonium,,10328-35-5,CYDRXTMLKJDRQH-UHFFFAOYSA-N,13.5,2,13.5; 20.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzyldimethylhexadecylammonium,,10328-34-4,QDYLMAYUEZBUFO-UHFFFAOYSA-N,4.0,2,4.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Benzyldimethyltetradecylammonium,,5285-67-6,WNBGYVXHFTYOBY-UHFFFAOYSA-N,0.5,2,0.5,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
